project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction of Revetment at Sibalom Bridge (Abutment B Downstream), Pangpang, Sibalom, Antique",ANTIQUE,IBC INTERNATIONAL BUILDERS CORPORATION,"115,798,223.39","115,798,223.39",11/23/2020,12/12/2022,Region VI,20G00098,IBC INTERNATIONAL BUILDERS CORPORATION,ANTIQUE
"Construction of Flood Control Structure, Bulan, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"144,546,166.89","144,546,166.89",12/11/2020,12/10/2022,Region V,20F00105,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,SORSOGON
"Construction of Drainage Structure - Davao City Div Rd - K1501+860, La Verna Section, Davao City",DAVAO DEL SUR,"ACD ASTROBUILT CONSTRUCTION & DEVELOPMENT, INC. (FORMERLY:ASTROBUILT CONSTRUCTION & DEVELOPMENT) / ABU CONSTRUCTION","74,570,375.00","74,570,375.00",12/17/2020,12/07/2022,Region XI,20LB0084,"ACD ASTROBUILT CONSTRUCTION & DEVELOPMENT, INC. (FORMERLY:ASTROBUILT CONSTRUCTION & DEVELOPMENT) / ABU CONSTRUCTION",DAVAO DEL SUR
"Construction of Flood Control Project, Busuanga River (Adela Section), Rizal, Occidental Mindoro",OCCIDENTAL MINDORO,HGG BUILDERS & SUPPLY,"48,999,488.98","48,999,488.98",02/24/2020,11/27/2022,Region IV-B,20EB0049,HGG BUILDERS & SUPPLY,OCCIDENTAL MINDORO
"Construction of Revetment along Davao River, Sta. 3+141 to Sta. 3+473, Davao City",DAVAO DEL SUR,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"86,136,865.00","86,136,865.00",12/16/2020,11/22/2022,Region XI,20LB0040,RAKKI CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction (Completion) of Basco Seawall and Fishing Boat Shelter Basco, Barangay San Antonio, Basco, Batanes",BATANES,MJMARI BUILDERS AND DEVELOPMENT CORPORATION (FORMERLY: MJMARI BUILDERS AND ENTERPRISES),"27,153,948.61","27,153,948.61",03/11/2020,10/31/2022,Region II,20BA0027,MJMARI BUILDERS AND DEVELOPMENT CORPORATION (FORMERLY: MJMARI BUILDERS AND ENTERPRISES),BATANES
"Construction of Storm Surge Protection: Heightened Road Tide Embankment, (Construction of Calogcog River Backwater Dike, Left Bank), Tanuan, Leyte",LEYTE,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","94,979,372.12","94,979,372.12",12/03/2020,10/25/2022,Region VIII,20I00042,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",LEYTE
"Construction of Storm Surge Protection: Heightened Road Tide Embankment, Section 6.3, Tanuan, Leyte",LEYTE,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,499,739.99","96,499,739.99",12/03/2020,10/25/2022,Region VIII,20I00042,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",LEYTE
"Construction of Revetment Wall/Sheetpiling of Baclaran Channel Channel, Parañaque City",PARAÑAQUE CITY,AKN CONSTRUCTION CORPORATION,"96,500,000.00","96,500,000.00",11/25/2020,10/24/2022,National Capital Region,20OC0135,AKN CONSTRUCTION CORPORATION,PARAÑAQUE CITY
"Construction of Revetment along Davao River, Bolton Bridge Upstream, S.I.R. New Matina, Ph 1, Sandawa Main Drain Section, Right Bank, Davao City",DAVAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"19,600,000.00","19,600,000.00",12/10/2020,10/17/2022,Region XI,20LB0244,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),DAVAO DEL SUR
"Rehabilitation/Reconstruction of Flood Control Structure along Managa-naga River, Bulan, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / L BROS CONSTRUCTION AND SUPPLY INC (FORMERLY: L BROS. CONSTRUCTION & SUPPLY),"144,749,727.67","144,749,727.67",12/11/2020,10/06/2022,Region V,20F00106,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC. / L BROS CONSTRUCTION AND SUPPLY INC (FORMERLY: L BROS. CONSTRUCTION & SUPPLY),SORSOGON
"Construction of Revetment along Davao River, Sta. 2+790 to Sta. 3+141, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,"60,296,095.00","60,296,095.00",12/16/2020,09/19/2022,Region XI,20LB0037,ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of Revetment - Davao River Flood Control, Bolton Bridge Upstream, S.I.R New Matina Phase 1 Section, Right Bank, Davao City",DAVAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"45,080,000.00","45,080,000.00",02/27/2020,08/28/2022,Region XI,20LB0024,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),DAVAO DEL SUR
"Construction of Revetment along Davao River, Sta. 3+065 to Sta. 3+440, Davao City",DAVAO DEL SUR,MITZ CONSTRUCTION AND SUPPLY,"28,950,000.00","28,950,000.00",12/17/2020,08/22/2022,Region XI,20LB0291,MITZ CONSTRUCTION AND SUPPLY,DAVAO DEL SUR
"Construction of Revetment along Davao River, Generoso Bridge Upstream Section, Right Bank, Davao City",DAVAO DEL SUR,RAKKI CORPORATION,"29,400,000.00","29,400,000.00",12/13/2020,08/18/2022,Region XI,20LB0247,RAKKI CORPORATION,DAVAO DEL SUR
"Construction of Revetment along Matina River, Sta. 3+365 to Sta. 3+620, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,"38,600,000.00","38,600,000.00",12/17/2020,08/17/2022,Region XI,20LB0253,ABU CONSTRUCTION,DAVAO DEL SUR
"Rehabilation of Flood Control, Baao Lake Outfall Intersection Bicol River, Sta 0+000.00 - Sta 0+700.00, Nubua, Camarines Sur",CAMARINES SUR,ALRO CONSTRUCTION & DEVELOPMENT CORP.,"70,888,755.40","70,888,755.40",12/07/2020,08/16/2022,Region V,20FN0097,ALRO CONSTRUCTION & DEVELOPMENT CORP.,CAMARINES SUR
"Construction of Slope Protection and Improvement along Iloilo River, Right Bank (from Forbes Bridge to Muelle Loney Bridge (Rizal)), Iloilo City",ILOILO,ROPRIM CONSTRUCTION CORPORATION (FORMERLY ROPRIM CONSTRUCTION),"38,453,540.08","38,453,540.08",11/23/2020,08/10/2022,Region VI,20G00090,ROPRIM CONSTRUCTION CORPORATION (FORMERLY ROPRIM CONSTRUCTION),ILOILO
"Construction of Flood Mitigation Structure along Appagonan River and its confluence along Cagayan River (Phase 9), Aparri, Cagayan",CAGAYAN,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),"33,259,747.11","33,259,747.11",11/18/2020,08/04/2022,Region II,20BB0085,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),CAGAYAN
"Construction of Revetment Wall along Cangaranan River at Cangaranan Bridge (Abutment A), Bugasong, Antique",ANTIQUE,IBC INTERNATIONAL BUILDERS CORPORATION,"115,799,647.99","115,799,647.99",11/23/2020,08/01/2022,Region VI,20G00101,IBC INTERNATIONAL BUILDERS CORPORATION,ANTIQUE
"Construction of Revetment along Tago River, Tago, Surigao del Sur",SURIGAO DEL SUR,JMT CONSTRUCTION,"48,999,951.28","48,999,951.28",12/08/2020,07/22/2022,Region XIII,20NH0061,JMT CONSTRUCTION,SURIGAO DEL SUR
"Construction of Revetment along Matina River, Sta. 2+983 to Sta. 3+173, Davao City",DAVAO DEL SUR,ABU CONSTRUCTION,"26,055,000.00","26,055,000.00",12/17/2020,07/19/2022,Region XI,20LB0170,ABU CONSTRUCTION,DAVAO DEL SUR
"Construction of revetment, Kumalarang River, Isabela City, Basilan",BASILAN,RCDG CONSTRUCTION CORPORATION / HHH DEVELOPER AND CONSTRUCTION,"105,571,270.46","105,571,270.46",11/23/2020,07/17/2022,Bangsamoro Autonomous Region in Muslim Mindanao,20J00047,RCDG CONSTRUCTION CORPORATION / HHH DEVELOPER AND CONSTRUCTION,BASILAN
"Construction of Flood Mitigation Structure along Appagonan River and its confluence along Cagayan River (Phase 10), Aparri, Cagayan",CAGAYAN,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),"33,211,358.78","33,211,358.78",11/18/2020,07/10/2022,Region II,20BB0083,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),CAGAYAN
"Construction of slope protection at Almirante Creek at Brgy. Talon 4, Las Piñas City",LAS PIÑAS CITY,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION,"29,397,952.78","29,397,952.78",10/16/2020,07/07/2022,National Capital Region,20OI0121,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION,LAS PIÑAS CITY
"Construction of Flood Control Structure along Dicayo River (Downstream) Bothsides, Barangay Dos, Katipunan, Zamboanga del Norte Package 1",ZAMBOANGA DEL NORTE,DIPOLOG TOP CONSTRUCTION & DEVT. CORP,"36,500,234.62","36,500,234.62",02/16/2021,09/30/2024,Region IX,21JB0085,DIPOLOG TOP CONSTRUCTION & DEVT. CORP,ZAMBOANGA DEL NORTE
"Construction of Revetment along Matina River, Outfall Section, Sta. 0+465 to Sta. 0+790, Left Bank, Davao City",DAVAO DEL SUR,MORTAR MASTERS & CONCRETE BUILDERS,"94,273,146.01","94,273,146.01",12/01/2021,08/31/2024,Region XI,21LB0293,MORTAR MASTERS & CONCRETE BUILDERS,DAVAO DEL SUR
"Installation of Pump-gates and Accessories, Iloilo City",ILOILO,"F. GURREA CONSTRUCTION, INCORPORATED","108,845,699.44","108,845,699.44",03/17/2022,06/06/2024,Region VI,21G00148,"F. GURREA CONSTRUCTION, INCORPORATED",ILOILO
"Construction of Drainage Channel from BCIR to Iponan River, Package 6, Bulua, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"96,179,476.23","96,179,476.23",11/22/2021,04/30/2024,Region X,21K00242,JEJOR'S CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Rehabilitation of Bitan-ag Creek including Channelization, Cagayan de Oro City",MISAMIS ORIENTAL,SUPREA PHILS. DEVELOPMENT CORP. / VEN RAY CONSTRUCTION CORPORATION,"91,435,385.09","91,435,385.09",08/16/2021,04/21/2024,Region X,21K00238,SUPREA PHILS. DEVELOPMENT CORP. / VEN RAY CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Rectangular Open Channel along Bitan-ag Creek (Rectangular Open Channel - 5m x 2m), Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"84,440,279.13","84,440,279.13",07/29/2021,04/21/2024,Region X,21K00241,JEJOR'S CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Single Barrel Diversion Drainage Line Connecting the Existing Bitan-ag Channel at LKKS to Diversion Drainage Line along BCIR and Agora Terminal Road, Lapasan, C.M. Recto - Limketkai Section, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"114,875,026.55","114,875,026.55",08/16/2021,03/25/2024,Region X,21K00239,JEJOR'S CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Rectangular Open Channel along Tributary Creek (Rectangular Open Channel - 6m x 2.5m), Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"91,654,271.43","91,654,271.43",07/28/2021,03/25/2024,Region X,21K00240,JEJOR'S CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Drainage System, Villarin - Lirio - Gemelina St., Carmen, Cagayan de Oro City",MISAMIS ORIENTAL,C'ZARLES CONSTRUCTION & SUPPLY,"102,864,606.30","102,864,606.30",11/22/2021,03/25/2024,Region X,21K00235,C'ZARLES CONSTRUCTION & SUPPLY,MISAMIS ORIENTAL
"Construction of Flood Mitigation Structure along Iponan River (Iponan Section), Iponan, Cagayan de Oro City, Sta. 1+885.10 - Sta. 2+183.80",MISAMIS ORIENTAL,VEN RAY CONSTRUCTION CORPORATION,"73,840,576.70","73,840,576.70",07/23/2021,03/25/2024,Region X,21K00274,VEN RAY CONSTRUCTION CORPORATION,MISAMIS ORIENTAL
"Construction of Flood Mitigation Structure along Iponan River (Canitoan Section), Iponan, Cagayan de Oro City, Sta. 2+316.80 - Sta. 2+666.61",MISAMIS ORIENTAL,DL ENTERPRISES / MORTAR MASTERS & CONCRETE BUILDERS,"73,261,616.42","73,261,616.42",08/27/2021,03/25/2024,Region X,21K00276,DL ENTERPRISES / MORTAR MASTERS & CONCRETE BUILDERS,MISAMIS ORIENTAL
"Construction of Carigara Tide Embankment, Sta. 0+150-Sta.0+283, Carigara, Leyte",LEYTE,LANOY CONSTRUCTION,"92,505,676.69","92,505,676.69",05/08/2021,03/22/2024,Region VIII,21I00015,LANOY CONSTRUCTION,LEYTE
"Construction of Storm Surge Protection: Embarkadero Backwater Dike, Right Bank, Brgy. Buntay, Brgy. Canramos, Tanauan, Leyte",LEYTE,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","94,857,069.67","94,857,069.67",02/22/2021,01/25/2024,Region VIII,21I00035,"L.N.R. CONSTRUCTION / SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",LEYTE
"Construction of Flood Mitigation Structure along Iponan River (Iponan Section), Cagayan de Oro City, Misamis Oriental",MISAMIS ORIENTAL,"M. MONTESCLAROS ENTERPRISES, INC.","28,054,126.43","28,054,126.43",07/23/2021,12/31/2023,Region X,21K00273,"M. MONTESCLAROS ENTERPRISES, INC.",MISAMIS ORIENTAL
"Construction of Cagayan de Oro Drainage System (Sapang Catchment), Package 4, Bulua, Cagayan de Oro City",MISAMIS ORIENTAL,ROAD EDGE TRADING & DEVELOPMENT SERVICES,"95,530,061.09","95,530,061.09",11/22/2021,12/31/2023,Region X,21K00237,ROAD EDGE TRADING & DEVELOPMENT SERVICES,MISAMIS ORIENTAL
"Construction of Cagayan de Oro Drainage System (Diversion Channel along Kauswagan - Bayabas Section) Package 5, Cagayan de Oro City",MISAMIS ORIENTAL,"GICAR CONSTRUCTION, INC.","96,258,829.05","96,258,829.05",11/22/2021,12/31/2023,Region X,21K00236,"GICAR CONSTRUCTION, INC.",MISAMIS ORIENTAL
"Construction of Manggas Creek from Brgy. Hinaplanon to Iligan Bay Shoreline, Package 1, Iligan City",LANAO DEL NORTE,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,"69,946,552.43","69,946,552.43",03/05/2021,12/27/2023,Region X,21K00040,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,LANAO DEL NORTE
"Construction/Upgrading/Rehabilitation of Drainage along National Roads-Secondary-Jct. Digos-Buayan Airport Road, General Santos City",SOUTH COTABATO,VICENTE T. LAO CONSTRUCTION,"39,193,358.97","39,193,358.97",03/22/2022,12/19/2023,Region XII,21MB0094,VICENTE T. LAO CONSTRUCTION,SOUTH COTABATO
"Construction of Flood Control Structures along Bulo River (Sta. Lucia Section), Barangay Sta. Lucia, San Miguel, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","23,519,992.20","23,519,992.20",03/30/2022,12/08/2023,Region III,21CD0132,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",BULACAN
"Improvement of River along Balagtas River, Pandi Section, Pandi, Bulacan",BULACAN,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),"142,350,971.22","142,350,971.22",11/29/2021,12/05/2023,Region III,21C00079,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),BULACAN
"Construction of Flood Mitigation Facility - Davao City Div Rd, Laverna Section, Brgy. Buhangin, Davao City",DAVAO DEL SUR,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"96,500,000.00","96,500,000.00",06/05/2022,11/28/2023,Region XI,21LB0115,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),DAVAO DEL SUR
"Construction of Flood Control Structure along Lanao-Pagadian-Zamboanga City Road, Buluan River (Phase II) (Upstream), Zamboanga Sibugay",ZAMBOANGA SIBUGAY,JAYKRIS ENTERPRISES & CONSTRUCTION (FORMERLY: JAYKRIS ENTERPRISES),"42,112,247.18","42,112,247.18",02/17/2021,11/28/2023,Region IX,21JF0011,JAYKRIS ENTERPRISES & CONSTRUCTION (FORMERLY: JAYKRIS ENTERPRISES),ZAMBOANGA SIBUGAY
"Rehabilitation of Drainage Structure at Sasa Creek, Davao City",DAVAO DEL SUR,VICENTE T. LAO CONSTRUCTION,"57,900,000.00","57,900,000.00",09/26/2022,11/24/2023,Region XI,21LB0323,VICENTE T. LAO CONSTRUCTION,DAVAO DEL SUR
"Construction of Revetment with Floodwall along Banago Creek (Phase 2), Sta. 0+000 to Sta. 1+947, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,SILVER DRAGON CONSTRUCTION & LUMBER & GLASS SUPPLY INC.,"29,400,000.00","29,400,000.00",10/07/2021,10/30/2023,Negros Island Region,21GO0078,SILVER DRAGON CONSTRUCTION & LUMBER & GLASS SUPPLY INC.,NEGROS OCCIDENTAL
"Construction of Davao River Flood Control, Davao City",DAVAO DEL SUR,VICENTE T. LAO CONSTRUCTION,"69,518,600.00","69,518,600.00",01/16/2022,10/16/2023,Region XI,21LB0012,VICENTE T. LAO CONSTRUCTION,DAVAO DEL SUR
"Construction of Revetment with Floodwall including Improvement of Riverbank (with Esplanade) along Lupit River, Phase 3, Bacolod City",NEGROS OCCIDENTAL,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,"31,936,464.90","31,936,464.90",10/07/2021,09/25/2023,Negros Island Region,21GO0076,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,NEGROS OCCIDENTAL
"Rehabilitation/Improvement of Iloillo Flood Control Project (IFCP), Iloilo City and Pavia, Iloilo",ILOILO,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),"19,300,000.00","19,300,000.00",06/23/2022,09/16/2023,Region VI,21G00149,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),ILOILO
"Construction of Flood Mitigation Structure, F. Torres Bridge (Downstream), Davao River, Brgy 9-A, Davao City",DAVAO DEL SUR,VICENTE T. LAO CONSTRUCTION,"29,400,000.00","29,400,000.00",07/12/2021,08/30/2023,Region XI,21LB0018,VICENTE T. LAO CONSTRUCTION,DAVAO DEL SUR
"Construction of Flood Mitigation Structures within Mindanao River Basin (along Pulangui River), Downstream of New Batangan Bridge, Barangay Poblacion Section, Valencia City, Bukidnon",BUKIDNON,"M. MONTESCLAROS ENTERPRISES, INC.","45,835,692.71","45,835,692.71",03/25/2022,08/27/2023,Region X,21K00259,"M. MONTESCLAROS ENTERPRISES, INC.",BUKIDNON
"Completion of Balbalan Central School Drainage Systems Sta. 147+900 - Sta. 148+100 (B.S.), Salegseg, Balbalan, Kalinga",KALINGA,BHM CONSTRUCTION,"1,905,025.19","1,905,025.19",03/24/2022,08/22/2023,Cordillera Administrative Region,21PK0060,BHM CONSTRUCTION,KALINGA
"Construction of Flood Mitigation Structure at Purok 6, Bago Gallera, Talomo District, Davao City",DAVAO DEL SUR,A.Y.U. ENGINEERING & CONSTRUCTION,"56,738,426.26","56,738,426.26",12/05/2021,08/15/2023,Region XI,21LB0297,A.Y.U. ENGINEERING & CONSTRUCTION,DAVAO DEL SUR
